"head"	"relation"	"tail"
"drugbank.DB00273"	"SE"	"meddra.10020622"
"drugbank.DB04574"	"SE"	"meddra.10014743"
"mondo.0018458"	"symptom"	"hpo.0004398"
"mondo.0007959"	"associated"	"uniprot.P32243"
"mondo.0009683"	"symptom"	"hpo.0000298"
"mondo.0100213"	"symptom"	"hpo.0200020"
"drugbank.DB00262"	"SE"	"meddra.10028836"
"mondo.0100244"	"associated"	"uniprot.P37287"
"drugbank.DB01175"	"SE"	"meddra.10025188"
"drugbank.DB01088"	"target"	"uniprot.P43119"
"mondo.0008675"	"symptom"	"hpo.0100790"
"drugbank.DB00338"	"SE"	"meddra.10020949"
"drugbank.DB00975"	"target"	"uniprot.P27815"
"drugbank.DB00783"	"SE"	"meddra.10005169"
"drugbank.DB06228"	"SE"	"meddra.10027313"
"mondo.0010176"	"associated"	"uniprot.Q2KHM9"
"drugbank.DB00619"	"SE"	"meddra.10002969"
"mondo.0005124"	"associated"	"uniprot.Q13637"
"drugbank.DB00693"	"SE"	"meddra.10002948"
"mondo.0010914"	"symptom"	"hpo.0001714"
"mondo.0009678"	"associated"	"uniprot.Q9Y6A1"
"mondo.0009458"	"symptom"	"hpo.0001622"
"mondo.0007039"	"symptom"	"hpo.0001269"
"mondo.0015776"	"symptom"	"hpo.0008064"
"mondo.0012967"	"symptom"	"hpo.0001878"
"mondo.0009176"	"associated"	"uniprot.Q15669"
"mondo.0009294"	"symptom"	"hpo.0001402"
"mondo.0014823"	"symptom"	"hpo.0002045"
"mondo.0019433"	"associated"	"uniprot.Q3KP44"
"mondo.0005580"	"associated"	"uniprot.O00299"
"drugbank.DB00740"	"target"	"uniprot.Q9UGI6"
"drugbank.DB00882"	"SE"	"meddra.10034923"
"mondo.0016296"	"associated"	"uniprot.Q96F81"
"drugbank.DB01242"	"target"	"uniprot.P10635"
"mondo.0009529"	"associated"	"uniprot.P00387"
"drugbank.DB01073"	"SE"	"meddra.10037032"
"drugbank.DB01165"	"SE"	"meddra.10014625"
"drugbank.DB08865"	"target"	"uniprot.Q9UQ88"
"drugbank.DB09053"	"target"	"uniprot.P51451"
"mondo.0009691"	"associated"	"uniprot.P10747"
"mondo.0008479"	"associated"	"uniprot.P02751"
"mondo.0013518"	"symptom"	"hpo.0002904"
"mondo.0018768"	"associated"	"uniprot.P08473"
"drugbank.DB01080"	"SE"	"meddra.10063175"
"mondo.0014545"	"associated"	"uniprot.P27544"
"drugbank.DB00273"	"SE"	"meddra.10012218"
"drugbank.DB01261"	"target"	"uniprot.Q12884"
"mondo.0017746"	"associated"	"uniprot.P61764"
"mondo.0018305"	"symptom"	"hpo.0002021"
"drugbank.DB00700"	"target"	"uniprot.P04150"
"mondo.0005124"	"associated"	"uniprot.Q9NR55"
"mondo.0009689"	"associated"	"uniprot.P28329"
"mondo.0014381"	"symptom"	"hpo.0001402"
"mondo.0006292"	"associated"	"uniprot.P18827"
"mondo.0007896"	"symptom"	"hpo.0001482"
"mondo.0010936"	"associated"	"uniprot.Q9UQN3"
"mondo.0010100"	"symptom"	"hpo.0000980"
"mondo.0015461"	"associated"	"uniprot.Q96EX3"
"mondo.0009892"	"symptom"	"hpo.0001342"
"drugbank.DB04845"	"target"	"uniprot.P07437"
"mondo.0007739"	"symptom"	"hpo.0002312"
"drugbank.DB00555"	"target"	"uniprot.Q14524"
"mondo.0017264"	"symptom"	"hpo.0007957"
"mondo.0007488"	"associated"	"uniprot.Q9UBK2"
"mondo.0007269"	"associated"	"uniprot.P16671"
"mondo.0007483"	"associated"	"uniprot.P55265"
"mondo.0012883"	"associated"	"uniprot.P10644"
"mondo.0017380"	"symptom"	"hpo.0003075"
"mondo.0007635"	"symptom"	"hpo.0000097"
"drugbank.DB01043"	"SE"	"meddra.10042434"
"drugbank.DB00796"	"target"	"uniprot.P23975"
"mondo.0012184"	"symptom"	"hpo.0000541"
"mondo.0008323"	"associated"	"uniprot.P51168"
"mondo.0018088"	"symptom"	"hpo.0000112"
"mondo.0008895"	"associated"	"uniprot.P21589"
"mondo.0010298"	"associated"	"uniprot.P00492"
"drugbank.DB00370"	"target"	"uniprot.P35348"
"drugbank.DB13867"	"SE"	"meddra.10008492"
"mondo.0010150"	"associated"	"uniprot.Q12866"
"mondo.0009613"	"symptom"	"hpo.0002919"
"mondo.0005029"	"associated"	"uniprot.P01137"
"drugbank.DB08815"	"SE"	"meddra.10033664"
"drugbank.DB01208"	"SE"	"meddra.10041823"
"mondo.0010789"	"symptom"	"hpo.0000726"
"mondo.0017810"	"associated"	"uniprot.P61769"
"drugbank.DB01026"	"target"	"uniprot.Q01959"
"mondo.0009723"	"associated"	"uniprot.P53597"
"mondo.0018874"	"associated"	"uniprot.Q02363"
"mondo.0002441"	"symptom"	"hpo.0001891"
"drugbank.DB01101"	"SE"	"meddra.10019668"
"drugbank.DB01013"	"target"	"uniprot.P04083"
"mondo.0013899"	"associated"	"uniprot.Q14767"
"mondo.0013976"	"symptom"	"hpo.0008404"
"mondo.0008908"	"symptom"	"hpo.0002578"
"drugbank.DB01165"	"target"	"uniprot.P47869"
"mondo.0013160"	"symptom"	"hpo.0010628"
"mondo.0011599"	"symptom"	"hpo.0000541"
"mondo.0001187"	"associated"	"uniprot.P09104"
"drugbank.DB00734"	"SE"	"meddra.10001927"
"mondo.0012192"	"symptom"	"hpo.0002104"
"mondo.0008876"	"symptom"	"hpo.0011947"
"mondo.0011921"	"symptom"	"hpo.0004409"
"drugbank.DB00788"	"SE"	"meddra.10019493"
"mondo.0100249"	"associated"	"uniprot.P51843"
"drugbank.DB00230"	"SE"	"meddra.10018292"
"mondo.0007576"	"associated"	"uniprot.P05091"
"mondo.0007042"	"associated"	"uniprot.P21802"
"mondo.0011719"	"symptom"	"hpo.0100242"
"drugbank.DB00396"	"SE"	"meddra.10029410"
"mondo.0013458"	"symptom"	"hpo.0002878"
"drugbank.DB01110"	"target"	"uniprot.P05186"
"mondo.0019078"	"symptom"	"hpo.0001650"
"mondo.0009367"	"symptom"	"hpo.0010741"
"drugbank.DB00909"	"SE"	"meddra.10013916"
"drugbank.DB00749"	"SE"	"meddra.10027199"
"mondo.0016367"	"symptom"	"hpo.0200034"
"drugbank.DB00285"	"SE"	"meddra.10047290"
"mondo.0019557"	"associated"	"uniprot.Q9Y3Z3"
"mondo.0013148"	"symptom"	"hpo.0012251"
"mondo.0011631"	"symptom"	"hpo.0001373"
"drugbank.DB01204"	"target"	"uniprot.P08183"
"mondo.0017366"	"symptom"	"hpo.0011703"
"mondo.0014402"	"symptom"	"hpo.0002273"
"drugbank.DB04868"	"target"	"uniprot.Q16620"
"mondo.0007522"	"symptom"	"hpo.0001386"
"mondo.0016296"	"symptom"	"hpo.0000873"
"mondo.0011624"	"symptom"	"hpo.0001395"
"drugbank.DB01205"	"target"	"uniprot.Q8N1C3"
"mondo.0014737"	"associated"	"uniprot.O15554"
"drugbank.DB00399"	"SE"	"meddra.10015461"
"mondo.0008201"	"symptom"	"hpo.0001300"
"drugbank.DB05521"	"target"	"uniprot.P08246"
"mondo.0008383"	"symptom"	"hpo.0002633"
"mondo.0013281"	"symptom"	"hpo.0003124"
"drugbank.DB01236"	"target"	"uniprot.O00591"
"mondo.0008199"	"symptom"	"hpo.0002063"
"drugbank.DB06203"	"target"	"uniprot.P27487"
"mondo.0033014"	"symptom"	"hpo.0000962"
"mondo.0011541"	"symptom"	"hpo.0001699"
"mondo.0016244"	"associated"	"uniprot.Q02985"
"drugbank.DB01233"	"target"	"uniprot.P46098"
"mondo.0014358"	"symptom"	"hpo.0025267"
"drugbank.DB00374"	"SE"	"meddra.10007882"
"mondo.0007152"	"symptom"	"hpo.0004308"
"drugbank.DB01198"	"SE"	"meddra.10009887"
"drugbank.DB08911"	"SE"	"meddra.10021028"
"drugbank.DB04946"	"target"	"uniprot.P28335"
"mondo.0060490"	"symptom"	"hpo.0002169"
"drugbank.DB00715"	"SE"	"meddra.10081988"
"drugbank.DB00688"	"SE"	"meddra.10020949"
"mondo.0014836"	"associated"	"uniprot.P12036"
"mondo.0013652"	"associated"	"uniprot.Q16653"
"drugbank.DB01254"	"target"	"uniprot.Q9H0K1"
"drugbank.DB01165"	"SE"	"meddra.10020400"
"mondo.0014797"	"symptom"	"hpo.0002202"
"drugbank.DB01197"	"target"	"uniprot.P35354"
"mondo.0010099"	"associated"	"uniprot.P17900"
"mondo.0014806"	"symptom"	"hpo.0001638"
"mondo.0010771"	"associated"	"uniprot.Q9NX14"
"drugbank.DB00531"	"SE"	"meddra.10001052"
"drugbank.DB00480"	"SE"	"meddra.10062352"
"mondo.0005711"	"symptom"	"hpo.0012418"
"mondo.0014859"	"symptom"	"hpo.0002072"
"mondo.0010005"	"symptom"	"hpo.0001987"
"drugbank.DB04868"	"SE"	"meddra.10029410"
"mondo.0016621"	"symptom"	"hpo.0002067"
"mondo.0019342"	"associated"	"uniprot.Q9HC77"
"mondo.0010283"	"associated"	"uniprot.P51617"
"drugbank.DB01224"	"SE"	"meddra.10013916"
"drugbank.DB01175"	"SE"	"meddra.10006514"
"mondo.0014018"	"symptom"	"hpo.0002607"
"mondo.0012117"	"symptom"	"hpo.0000998"
"mondo.0010161"	"symptom"	"hpo.0006554"
"mondo.0011945"	"symptom"	"hpo.0000741"
"mondo.0018133"	"symptom"	"hpo.0002311"
"mondo.0011107"	"symptom"	"hpo.0000995"
"drugbank.DB00248"	"SE"	"meddra.10035598"
"drugbank.DB01186"	"SE"	"meddra.10040943"
"mondo.0016333"	"associated"	"uniprot.P09493"
"mondo.0009490"	"associated"	"uniprot.P53634"
"mondo.0012110"	"symptom"	"hpo.0000135"
"drugbank.DB00678"	"target"	"uniprot.P27815"
"mondo.0007172"	"symptom"	"hpo.0001650"
"mondo.0018874"	"associated"	"uniprot.P41220"
"drugbank.DB00768"	"SE"	"meddra.10002653"
"mondo.0013571"	"symptom"	"hpo.0002634"
"drugbank.DB00811"	"target"	"uniprot.P49902"
"mondo.0019171"	"symptom"	"hpo.0001645"
"drugbank.DB00555"	"SE"	"meddra.10015000"
"drugbank.DB01194"	"target"	"uniprot.Q9ULX7"
"drugbank.DB00215"	"SE"	"meddra.10002948"
"drugbank.DB01072"	"SE"	"meddra.10002959"
"mondo.0013533"	"symptom"	"hpo.0002155"
"mondo.0009855"	"symptom"	"hpo.0001396"
"mondo.0009837"	"symptom"	"hpo.0001085"
"mondo.0008383"	"associated"	"uniprot.Q04864"
"drugbank.DB01184"	"SE"	"meddra.10042434"
"mondo.0009109"	"symptom"	"hpo.0003124"
"drugbank.DB01137"	"target"	"uniprot.Q12809"
"drugbank.DB01110"	"SE"	"meddra.10043969"
"mondo.0013840"	"symptom"	"hpo.0003128"
"mondo.0013523"	"symptom"	"hpo.0008404"
"drugbank.DB00877"	"SE"	"meddra.10029164"
"mondo.0008692"	"symptom"	"hpo.0000575"
"mondo.0013268"	"symptom"	"hpo.0001562"
"mondo.0011916"	"symptom"	"hpo.0002317"
"drugbank.DB01186"	"SE"	"meddra.10036661"
"drugbank.DB06589"	"target"	"uniprot.P29597"
"drugbank.DB00489"	"SE"	"meddra.10020667"
"mondo.0100130"	"associated"	"uniprot.P06702"
"mondo.0008383"	"associated"	"uniprot.O43557"
"mondo.0018968"	"associated"	"uniprot.P10071"
"mondo.0016862"	"symptom"	"hpo.0001920"
"mondo.0007576"	"associated"	"uniprot.Q9UHC1"
"drugbank.DB05294"	"target"	"uniprot.Q13131"
"mondo.0009883"	"symptom"	"hpo.0002170"
"mondo.0012930"	"symptom"	"hpo.0000126"
"mondo.0008280"	"symptom"	"hpo.0005584"
"mondo.0016244"	"associated"	"uniprot.P05156"
"drugbank.DB00211"	"target"	"uniprot.P35348"
"drugbank.DB00928"	"SE"	"meddra.10055548"
"drugbank.DB01268"	"target"	"uniprot.P78362"
"drugbank.DB00193"	"SE"	"meddra.10037375"
"mondo.0014146"	"symptom"	"hpo.0002901"
"mondo.0100349"	"associated"	"uniprot.Q5HYA8"
"drugbank.DB00619"	"target"	"uniprot.P06241"
"mondo.0016466"	"associated"	"uniprot.P11021"
"mondo.0010847"	"associated"	"uniprot.O95551"
"mondo.0010854"	"symptom"	"hpo.0000752"
"mondo.0009214"	"associated"	"uniprot.Q9BXW9"
"drugbank.DB01080"	"SE"	"meddra.10042571"
"mondo.0011916"	"associated"	"uniprot.Q9HDC5"
"mondo.0019784"	"associated"	"uniprot.Q9Y2U8"
"drugbank.DB00564"	"SE"	"meddra.10019847"
"mondo.0014670"	"symptom"	"hpo.0100602"
"drugbank.DB04868"	"SE"	"meddra.10033897"
"drugbank.DB01254"	"target"	"uniprot.Q13163"
"mondo.0016063"	"associated"	"uniprot.P42336"
"drugbank.DB00419"	"target"	"uniprot.P14410"
"mondo.0011439"	"symptom"	"hpo.0001300"
"drugbank.DB06616"	"target"	"uniprot.Q09013"
"drugbank.DB00328"	"target"	"uniprot.P52895"
"mondo.0009863"	"symptom"	"hpo.0001300"
"mondo.0007838"	"symptom"	"hpo.0001680"
"mondo.0015515"	"symptom"	"hpo.0001259"
"mondo.0009406"	"associated"	"uniprot.Q15842"
"mondo.0012546"	"symptom"	"hpo.0000100"
"mondo.0016419"	"associated"	"uniprot.O15297"
"mondo.0010217"	"associated"	"uniprot.Q03468"
"drugbank.DB01050"	"SE"	"meddra.10037397"
"mondo.0014233"	"symptom"	"hpo.0002067"
"drugbank.DB01406"	"target"	"uniprot.P18825"
"drugbank.DB08819"	"SE"	"meddra.10046851"
"drugbank.DB00740"	"SE"	"meddra.10012260"
"mondo.0004948"	"associated"	"uniprot.O14980"
"drugbank.DB00285"	"SE"	"meddra.10037596"
"mondo.0012808"	"associated"	"uniprot.P35609"
"mondo.0004948"	"associated"	"uniprot.Q9BZL6"
"mondo.0011651"	"symptom"	"hpo.0001373"
"mondo.0014716"	"symptom"	"hpo.0004789"
"drugbank.DB00877"	"target"	"uniprot.Q53EL6"
"drugbank.DB05812"	"SE"	"meddra.10023232"
"mondo.0009552"	"associated"	"uniprot.P55000"
"mondo.0012104"	"symptom"	"hpo.0100578"
"drugbank.DB00373"	"SE"	"meddra.10040736"
"mondo.0008073"	"symptom"	"hpo.0000123"
"mondo.0013571"	"symptom"	"hpo.0000225"
"mondo.0009949"	"symptom"	"hpo.0000741"
"mondo.0008383"	"associated"	"uniprot.P52788"
"drugbank.DB01268"	"target"	"uniprot.O75116"
"mondo.0013761"	"symptom"	"hpo.0003128"
"mondo.0010627"	"symptom"	"hpo.0002155"
"mondo.0012883"	"associated"	"uniprot.P10721"
"mondo.0013482"	"associated"	"uniprot.Q96GX1"
"mondo.0007608"	"symptom"	"hpo.0000126"
"drugbank.DB01212"	"SE"	"meddra.10043563"
"mondo.0012728"	"symptom"	"hpo.0011705"
"mondo.0060490"	"symptom"	"hpo.0000488"
"drugbank.DB00864"	"SE"	"meddra.10000971"
"mondo.0011996"	"associated"	"uniprot.P09917"
"drugbank.DB06213"	"target"	"uniprot.P30542"
"mondo.0019562"	"symptom"	"hpo.0000554"
"drugbank.DB05294"	"target"	"uniprot.P21709"
"mondo.0012590"	"symptom"	"hpo.0004326"
"drugbank.DB06626"	"target"	"uniprot.O14965"
"drugbank.DB00425"	"SE"	"meddra.10043380"
"mondo.0010789"	"symptom"	"hpo.0002381"
"mondo.0007571"	"symptom"	"hpo.0002045"
"mondo.0015001"	"symptom"	"hpo.0004757"
"drugbank.DB01240"	"target"	"uniprot.P35408"
"drugbank.DB08865"	"target"	"uniprot.P54756"
"drugbank.DB00273"	"target"	"uniprot.P35218"
"drugbank.DB00404"	"target"	"uniprot.P28472"
"mondo.0007872"	"symptom"	"hpo.0001097"
"mondo.0008641"	"symptom"	"hpo.0000112"
"mondo.0010789"	"associated"	"uniprot.P01584"
"mondo.0009706"	"symptom"	"hpo.0002913"
"mondo.0013373"	"symptom"	"hpo.0011705"
"mondo.0016581"	"associated"	"uniprot.P27539"
"mondo.0000914"	"symptom"	"hpo.0001300"
"mondo.0008487"	"associated"	"uniprot.P18405"
"mondo.0007576"	"associated"	"uniprot.Q13761"
"drugbank.DB01073"	"SE"	"meddra.10038687"
"mondo.0010645"	"symptom"	"hpo.0000843"
"drugbank.DB00323"	"SE"	"meddra.10020558"
"drugbank.DB00270"	"target"	"uniprot.O95180"
"drugbank.DB00398"	"target"	"uniprot.P16234"
"mondo.0010017"	"symptom"	"hpo.0001482"
"mondo.0019569"	"associated"	"uniprot.Q13216"
"mondo.0013509"	"symptom"	"hpo.0002133"
"drugbank.DB00193"	"SE"	"meddra.10011283"
"drugbank.DB00629"	"SE"	"meddra.10021328"
"mondo.0054738"	"associated"	"uniprot.Q5SZK8"
"mondo.0013570"	"symptom"	"hpo.0001942"
"drugbank.DB00239"	"target"	"uniprot.P41143"
"drugbank.DB00402"	"SE"	"meddra.10037576"
"drugbank.DB00582"	"target"	"uniprot.P08684"
"mondo.0010907"	"symptom"	"hpo.0030214"
"drugbank.DB01026"	"target"	"uniprot.P08913"
"mondo.0014431"	"symptom"	"hpo.0000147"
"mondo.0009337"	"associated"	"uniprot.Q6UXH8"
"mondo.0013380"	"symptom"	"hpo.0000962"
"drugbank.DB00641"	"SE"	"meddra.10019493"
"mondo.0007872"	"symptom"	"hpo.0000458"
"mondo.0011833"	"symptom"	"hpo.0002304"
"mondo.0017844"	"associated"	"uniprot.O14686"
"mondo.0012930"	"symptom"	"hpo.0012490"
"drugbank.DB00338"	"SE"	"meddra.10018386"
"drugbank.DB01011"	"target"	"uniprot.P19099"
"mondo.0016296"	"symptom"	"hpo.0004409"
"mondo.0014098"	"symptom"	"hpo.0000876"
"mondo.0004691"	"symptom"	"hpo.0012330"
"mondo.0009636"	"symptom"	"hpo.0001397"
"mondo.0018556"	"symptom"	"hpo.0000966"
"drugbank.DB00398"	"target"	"uniprot.O00444"
"mondo.0013851"	"associated"	"uniprot.P04141"
"drugbank.DB00715"	"SE"	"meddra.10003656"
"mondo.0009144"	"symptom"	"hpo.0004420"
"drugbank.DB08865"	"SE"	"meddra.10021059"
"mondo.0008294"	"symptom"	"hpo.0002590"
"drugbank.DB01186"	"SE"	"meddra.10024378"
"mondo.0019186"	"symptom"	"hpo.0002754"
"drugbank.DB00571"	"target"	"uniprot.O15245"
"drugbank.DB00211"	"target"	"uniprot.P07900"
"mondo.0014455"	"symptom"	"hpo.0000763"
"drugbank.DB08882"	"target"	"uniprot.P11229"
"mondo.0031037"	"symptom"	"hpo.0001342"
"drugbank.DB00758"	"SE"	"meddra.10022618"
"mondo.0009798"	"symptom"	"hpo.0000823"
"mondo.0018938"	"symptom"	"hpo.0001373"
"mondo.0010772"	"associated"	"uniprot.P03905"
"mondo.0009068"	"associated"	"uniprot.P0DJ07"
"mondo.0011346"	"associated"	"uniprot.Q96EN8"
"mondo.0002441"	"symptom"	"hpo.0001663"
"mondo.0010060"	"associated"	"uniprot.Q96RR1"
"mondo.0019353"	"associated"	"uniprot.P23942"
"mondo.0015005"	"symptom"	"hpo.0001942"
"mondo.0014276"	"symptom"	"hpo.0001890"
"mondo.0007034"	"symptom"	"hpo.0001541"
"mondo.0014777"	"symptom"	"hpo.0100660"
"mondo.0009946"	"symptom"	"hpo.0001878"
"mondo.0013563"	"symptom"	"hpo.0000498"
"mondo.0014547"	"symptom"	"hpo.0010628"
"drugbank.DB00976"	"SE"	"meddra.10019692"
"mondo.0008434"	"associated"	"uniprot.Q7Z5J4"
"mondo.0009009"	"symptom"	"hpo.0000704"
"drugbank.DB00740"	"SE"	"meddra.10022974"
"mondo.0014115"	"associated"	"uniprot.P14868"
"mondo.0015229"	"symptom"	"hpo.0000100"
"mondo.0011989"	"associated"	"uniprot.P22301"
"mondo.0005388"	"associated"	"uniprot.P42701"
"mondo.0004948"	"associated"	"uniprot.P43405"
"mondo.0010714"	"symptom"	"hpo.0001266"
"mondo.0015000"	"symptom"	"hpo.0002133"
"drugbank.DB00997"	"SE"	"meddra.10043566"
"drugbank.DB00297"	"SE"	"meddra.10027646"
"drugbank.DB00323"	"SE"	"meddra.10007882"
"drugbank.DB00796"	"target"	"uniprot.P08684"
"mondo.0014754"	"symptom"	"hpo.0001562"
"drugbank.DB00006"	"SE"	"meddra.10018276"
"drugbank.DB00619"	"SE"	"meddra.10042384"
"mondo.0018874"	"associated"	"uniprot.P52948"
"mondo.0007896"	"associated"	"uniprot.Q9HB96"
"drugbank.DB01242"	"target"	"uniprot.P08172"
"mondo.0018229"	"associated"	"uniprot.P14174"
"drugbank.DB00804"	"SE"	"meddra.10002972"
"drugbank.DB06626"	"target"	"uniprot.P53779"
"drugbank.DB00215"	"SE"	"meddra.10005159"
"drugbank.DB01241"	"target"	"uniprot.P10632"
"mondo.0010497"	"symptom"	"hpo.0100660"
"mondo.0018229"	"associated"	"uniprot.Q13619"
"mondo.0011781"	"associated"	"uniprot.P11021"
"drugbank.DB00679"	"target"	"uniprot.P28335"
"mondo.0013961"	"symptom"	"hpo.0000458"
"mondo.0009294"	"symptom"	"hpo.0003124"
"mondo.0012883"	"associated"	"uniprot.Q9UIK4"
"mondo.0009693"	"associated"	"uniprot.P01111"
"mondo.0009061"	"associated"	"uniprot.P13569"
"mondo.0001187"	"associated"	"uniprot.P38936"
"mondo.0011382"	"symptom"	"hpo.0001931"
"mondo.0012541"	"symptom"	"hpo.0010609"
"mondo.0018770"	"associated"	"uniprot.Q96EX3"
"mondo.0013184"	"symptom"	"hpo.0011859"
"mondo.0017694"	"symptom"	"hpo.0002098"
"mondo.0019978"	"symptom"	"hpo.0001680"
"mondo.0016241"	"associated"	"uniprot.O00555"
"mondo.0009268"	"symptom"	"hpo.0003470"
"drugbank.DB00273"	"SE"	"meddra.10033546"
"mondo.0013513"	"associated"	"uniprot.P63252"
"drugbank.DB00724"	"SE"	"meddra.10018627"
"mondo.0010526"	"symptom"	"hpo.0000100"
"mondo.0019349"	"symptom"	"hpo.0000104"
"mondo.0008876"	"symptom"	"hpo.0000027"
"mondo.0018820"	"symptom"	"hpo.0001664"
"mondo.0015253"	"associated"	"uniprot.P62244"
"mondo.0008133"	"symptom"	"hpo.0002317"
"mondo.0010626"	"symptom"	"hpo.0000230"
"mondo.0010886"	"symptom"	"hpo.0000717"
"drugbank.DB00519"	"SE"	"meddra.10008114"
"mondo.0007797"	"symptom"	"hpo.0002901"
"drugbank.DB00843"	"target"	"uniprot.P22303"
"mondo.0023122"	"associated"	"uniprot.Q7Z589"
"mondo.0019266"	"symptom"	"hpo.0002754"
"drugbank.DB00448"	"SE"	"meddra.10019493"
"drugbank.DB01026"	"target"	"uniprot.Q06278"
"drugbank.DB06589"	"target"	"uniprot.P80192"
"mondo.0019439"	"symptom"	"hpo.0002024"
"drugbank.DB01242"	"SE"	"meddra.10020907"
"mondo.0014461"	"symptom"	"hpo.0000458"
"drugbank.DB01101"	"SE"	"meddra.10025327"
"drugbank.DB00408"	"target"	"uniprot.P28566"
"mondo.0016485"	"associated"	"uniprot.Q96EG1"
"mondo.0013863"	"symptom"	"hpo.0001890"
"drugbank.DB05294"	"target"	"uniprot.O94804"
"mondo.0009338"	"symptom"	"hpo.0002206"
"mondo.0009705"	"symptom"	"hpo.0002919"
"drugbank.DB00320"	"target"	"uniprot.P35462"
"mondo.0018997"	"associated"	"uniprot.Q9UQ13"
"mondo.0018096"	"symptom"	"hpo.0001653"
"mondo.0011531"	"symptom"	"hpo.0000962"
"mondo.0014643"	"associated"	"uniprot.Q71SY5"
"drugbank.DB06616"	"target"	"uniprot.P07949"
"mondo.0002728"	"associated"	"uniprot.Q12824"
"mondo.0009105"	"symptom"	"hpo.0001636"
"mondo.0018149"	"associated"	"uniprot.P16278"
"drugbank.DB01208"	"SE"	"meddra.10000486"
"mondo.0011624"	"symptom"	"hpo.0001009"
"mondo.0014379"	"symptom"	"hpo.0000646"
"mondo.0009627"	"associated"	"uniprot.Q8WUM0"
"mondo.0013238"	"symptom"	"hpo.0000498"
"mondo.0010829"	"symptom"	"hpo.0002634"
"mondo.0019037"	"symptom"	"hpo.0002067"
"mondo.0014775"	"associated"	"uniprot.Q70HW3"
"drugbank.DB00268"	"SE"	"meddra.10047924"
"mondo.0010829"	"symptom"	"hpo.0002607"
"drugbank.DB00740"	"SE"	"meddra.10042604"
"mondo.0009341"	"symptom"	"hpo.0003763"
"mondo.0019107"	"symptom"	"hpo.0032231"
"mondo.0015104"	"symptom"	"hpo.0001402"
"mondo.0009232"	"symptom"	"hpo.0000141"
"mondo.0010088"	"symptom"	"hpo.0007957"
"mondo.0009692"	"symptom"	"hpo.0001433"
"drugbank.DB01590"	"SE"	"meddra.10027313"
"mondo.0010848"	"associated"	"uniprot.Q9GZZ9"
"drugbank.DB00472"	"SE"	"meddra.10002972"
"mondo.0016674"	"associated"	"uniprot.Q8WW38"
"mondo.0012985"	"associated"	"uniprot.P16452"
"mondo.0007838"	"associated"	"uniprot.Q01543"
"mondo.0018229"	"associated"	"uniprot.Q13422"
"mondo.0010355"	"symptom"	"hpo.0000717"
"mondo.0013578"	"symptom"	"hpo.0007957"
"drugbank.DB04953"	"target"	"uniprot.O43525"
"drugbank.DB00745"	"SE"	"meddra.10026749"
"mondo.0008918"	"symptom"	"hpo.0100602"
"mondo.0009880"	"associated"	"uniprot.Q969G2"
"drugbank.DB00519"	"SE"	"meddra.10072760"
"mondo.0010588"	"associated"	"uniprot.Q00604"
"mondo.0019960"	"associated"	"uniprot.P01562"
"mondo.0013907"	"symptom"	"hpo.0002300"
"drugbank.DB00882"	"SE"	"meddra.10000496"
"mondo.0008633"	"symptom"	"hpo.0002633"
"mondo.0018828"	"symptom"	"hpo.0025116"
"mondo.0007493"	"symptom"	"hpo.0000726"
"drugbank.DB00472"	"SE"	"meddra.10018386"
"mondo.0008840"	"associated"	"uniprot.Q13315"
"drugbank.DB00952"	"SE"	"meddra.10033799"
"mondo.0007269"	"associated"	"uniprot.P19429"
"mondo.0007924"	"symptom"	"hpo.0010784"
"mondo.0016390"	"symptom"	"hpo.0002901"
"mondo.0010172"	"symptom"	"hpo.0000104"
"mondo.0011719"	"associated"	"uniprot.P08151"
"mondo.0007893"	"associated"	"uniprot.Q8N653"
"drugbank.DB00440"	"target"	"uniprot.P00374"
"mondo.0016063"	"symptom"	"hpo.0002861"
"mondo.0007269"	"associated"	"uniprot.P12883"
"mondo.0008383"	"associated"	"uniprot.Q9UKT9"
"mondo.0010264"	"associated"	"uniprot.P33991"
"mondo.0005580"	"associated"	"uniprot.Q9Y238"
"drugbank.DB00252"	"SE"	"meddra.10020559"
"drugbank.DB01024"	"target"	"uniprot.P12268"
"mondo.0009904"	"associated"	"uniprot.P51801"
"mondo.0007792"	"associated"	"uniprot.P29992"
"mondo.0010683"	"symptom"	"hpo.0001622"
"drugbank.DB01268"	"target"	"uniprot.P04629"
"mondo.0011972"	"symptom"	"hpo.0012886"
"mondo.0010472"	"symptom"	"hpo.0000717"
"drugbank.DB00459"	"SE"	"meddra.10022562"
"drugbank.DB00603"	"SE"	"meddra.10027514"
"mondo.0009738"	"symptom"	"hpo.0007957"
"drugbank.DB00715"	"SE"	"meddra.10046798"
"drugbank.DB14570"	"target"	"uniprot.P08185"
"drugbank.DB00967"	"target"	"uniprot.P20309"
"drugbank.DB01194"	"target"	"uniprot.P00915"
"mondo.0010137"	"symptom"	"hpo.0000853"
"drugbank.DB01129"	"SE"	"meddra.10043570"
"mondo.0014071"	"symptom"	"hpo.0002352"
"drugbank.DB00188"	"SE"	"meddra.10020582"
"mondo.0012145"	"associated"	"uniprot.Q9UBX5"
"mondo.0008119"	"associated"	"uniprot.P05129"
"drugbank.DB00688"	"target"	"uniprot.P20839"
"drugbank.DB01142"	"SE"	"meddra.10018290"
"mondo.0014723"	"symptom"	"hpo.0002317"
"mondo.0012876"	"symptom"	"hpo.0005521"
